NAME,TYPE,COUNTY,PROVINCE,REGION,Longitude,Latitude,DESCRIPTIO,BUFF_DIST,ORIG_FID
Maghery Pier,PIER,DONEGAL,ULSTER,North-West,-8.4334614,54.93548114,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,298
Narin Pier,PIER,DONEGAL,ULSTER,North-West,-8.46387593,54.84237791,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,295
Gweebarra Pier,PIER,DONEGAL,ULSTER,North-West,-8.32970833,54.83916525,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,296
Loughros Point Slip,SLIPWAY,DONEGAL,ULSTER,North-West,-8.5405949,54.78208328,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,293
Rossbeg Pier,PIER,DONEGAL,ULSTER,North-West,-8.52507936,54.82062137,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,294
Malin Beg Pier,PIER,DONEGAL,ULSTER,North-West,-8.78529547,54.66500339,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,291
Port Pier,PIER,DONEGAL,ULSTER,North-West,-8.70117474,54.74703167,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,292
Teelin,PIER,DONEGAL,ULSTER,North-West,-8.64260965,54.64259474,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,289
Teelin Slip,SLIPWAY,DONEGAL,ULSTER,North-West,-8.63234725,54.62371493,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,290
Rosmoney Quay,QUAY,MAYO,CONNAUGHT,West,-9.61787327,53.82399345,Wharf usually built parallel to the shoreline,500,223
Westport Bay,PIER,MAYO,CONNAUGHT,West,-9.62617986,53.78444956,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,224
Leckanvy Pier,PIER,MAYO,CONNAUGHT,West,-9.68906984,53.78363705,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,221
Roscahill Slipway,SLIPWAY,MAYO,CONNAUGHT,West,-9.60801973,53.83365566,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,222
Oldhead Quay,QUAY,MAYO,CONNAUGHT,West,-9.76775742,53.77816552,Wharf usually built parallel to the shoreline,500,219
Oldhead Slipway,SLIPWAY,MAYO,CONNAUGHT,West,-9.76890327,53.77792035,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,220
Roonah Point,PIER,MAYO,CONNAUGHT,West,-9.90401823,53.7615062,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,217
Carrowmore Quay,QUAY,MAYO,CONNAUGHT,West,-9.82937792,53.77056414,Wharf usually built parallel to the shoreline,500,218
Inner Killary,PIER,GALWAY,CONNAUGHT,West,-9.67806336,53.60972461,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,215
